epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,8655.16,1.13993,0.67744,0.94083,0.82992,0.93934,0.96921,0.7919,0.69469,0.54296,0.84611,0.00999149,0.00999149,0.00999149
88,8754.59,1.10409,0.65678,0.93797,0.89054,0.89073,0.95683,0.76235,0.73774,0.499,0.85153,0.00999139,0.00999139,0.00999139
89,8854.01,1.11112,0.67476,0.93556,0.77477,0.87868,0.88742,0.68298,0.75882,0.77905,0.85307,0.00999129,0.00999129,0.00999129
90,8953.46,1.12614,0.68551,0.94299,0.75776,0.95321,0.9506,0.76077,0.78336,0.57344,0.85852,0.00999119,0.00999119,0.00999119
91,9052.9,1.11291,0.66254,0.9384,0.89408,0.921,0.96546,0.77973,0.75659,0.5815,0.8493,0.00999109,0.00999109,0.00999109
92,9152.36,1.11152,0.6665,0.93715,0.86415,0.99182,0.9774,0.78393,0.70915,0.494,0.8414,0.00999099,0.00999099,0.00999099
93,9251.77,1.12789,0.66852,0.94555,0.83349,0.91578,0.96107,0.74926,0.74871,0.58621,0.84175,0.00999089,0.00999089,0.00999089
94,9351.21,1.08607,0.64981,0.92723,0.78233,0.73376,0.83579,0.65185,0.8351,0.75592,0.86127,0.00999079,0.00999079,0.00999079
95,9450.64,1.07992,0.64025,0.94278,0.91473,0.87716,0.94823,0.76809,0.68901,0.59872,0.84873,0.00999069,0.00999069,0.00999069
96,9550.11,1.08922,0.63085,0.94432,0.73851,1,0.96634,0.75951,0.69893,0.63362,0.83967,0.00999059,0.00999059,0.00999059
97,9649.51,1.07824,0.65013,0.9335,0.75738,0.85995,0.90417,0.71346,0.76744,0.66618,0.84791,0.0099905,0.0099905,0.0099905
98,9749.02,1.08963,0.66345,0.92724,0.83692,0.91418,0.95306,0.76746,0.71059,0.53973,0.85035,0.0099904,0.0099904,0.0099904
99,9848.41,1.08519,0.64008,0.93421,0.91123,0.89933,0.9697,0.75969,0.72597,0.47867,0.85299,0.0099903,0.0099903,0.0099903
100,9947.83,1.08716,0.64021,0.92877,0.8469,0.86575,0.93532,0.77869,0.66824,0.51887,0.84394,0.0099902,0.0099902,0.0099902
101,10047.2,1.12086,0.66095,0.95456,0.90193,0.8607,0.95345,0.77863,0.67755,0.52112,0.83798,0.0099901,0.0099901,0.0099901
102,10146.7,1.10966,0.66701,0.94442,0.76943,0.95542,0.94153,0.77499,0.75357,0.56643,0.85159,0.00999,0.00999,0.00999
103,10246.6,1.11373,0.64493,0.94751,0.90019,0.96507,0.96738,0.77149,0.72539,0.52982,0.86179,0.0099899,0.0099899,0.0099899
104,10346.1,1.07558,0.64491,0.9243,0.87955,0.85668,0.95058,0.75037,0.69885,0.59205,0.84237,0.0099898,0.0099898,0.0099898
105,10445.4,1.06855,0.64333,0.94755,0.90622,0.72237,0.90975,0.73159,0.73884,0.71053,0.84648,0.0099897,0.0099897,0.0099897
106,10544.9,1.08705,0.63322,0.93114,0.80087,0.89467,0.92189,0.78964,0.62245,0.58237,0.83249,0.00998961,0.00998961,0.00998961
107,10644.3,1.08561,0.62548,0.92362,0.78621,0.96875,0.94001,0.74649,0.69734,0.57472,0.85554,0.00998951,0.00998951,0.00998951
108,10743.8,1.05577,0.64869,0.92584,0.85335,0.9305,0.93999,0.76677,0.70108,0.55821,0.84188,0.00998941,0.00998941,0.00998941
109,10843.2,1.05478,0.6208,0.92192,0.82859,0.85008,0.91962,0.72678,0.74444,0.65629,0.84753,0.00998931,0.00998931,0.00998931
110,10942.6,1.05904,0.62515,0.92719,0.95441,0.82026,0.96241,0.78751,0.66136,0.51121,0.83436,0.00998921,0.00998921,0.00998921
111,11042.1,1.06629,0.62107,0.91953,0.90777,0.94354,0.96658,0.77441,0.70965,0.51857,0.83998,0.00998911,0.00998911,0.00998911
112,11141.5,1.07967,0.6202,0.93341,0.83461,0.96101,0.95438,0.78924,0.6943,0.47681,0.83559,0.00998901,0.00998901,0.00998901
113,11240.9,1.04566,0.62136,0.92188,0.88285,0.85165,0.92398,0.75008,0.79576,0.52888,0.85248,0.00998891,0.00998891,0.00998891
114,11340.5,1.046,0.62146,0.92367,0.81475,0.89336,0.91344,0.72544,0.73607,0.58456,0.84301,0.00998881,0.00998881,0.00998881
115,11439.9,1.05356,0.62371,0.92298,0.70267,0.89312,0.88707,0.74567,0.71079,0.59335,0.84937,0.00998871,0.00998871,0.00998871
116,11539.4,1.05373,0.61686,0.93349,0.82296,0.74653,0.81571,0.69267,0.65775,0.64141,0.84936,0.00998862,0.00998862,0.00998862
117,11638.8,1.02127,0.6169,0.92088,0.77621,1,0.96331,0.761,0.6687,0.524,0.8379,0.00998852,0.00998852,0.00998852
118,11738.2,1.04901,0.61021,0.92776,0.82273,0.87772,0.91799,0.73821,0.72561,0.67197,0.83347,0.00998842,0.00998842,0.00998842
119,11837.7,1.0498,0.60427,0.92496,0.816,0.8631,0.91911,0.72153,0.73273,0.65298,0.8474,0.00998832,0.00998832,0.00998832
120,11937.1,1.04382,0.62123,0.93463,0.84202,0.87416,0.9246,0.77507,0.68259,0.5803,0.85472,0.00998822,0.00998822,0.00998822
121,12036.6,1.05304,0.62158,0.92195,0.87628,0.82985,0.95928,0.76809,0.76564,0.73568,0.8528,0.00998812,0.00998812,0.00998812
122,12136,1.06802,0.61547,0.92563,0.83124,0.89049,0.93766,0.77792,0.73028,0.55904,0.84784,0.00998802,0.00998802,0.00998802
123,12235.4,1.04873,0.5999,0.91832,0.94452,0.81135,0.88067,0.71908,0.72912,0.61446,0.85826,0.00998792,0.00998792,0.00998792
124,12334.9,1.06796,0.61721,0.92454,0.90472,0.92548,0.97166,0.79331,0.66756,0.47146,0.8392,0.00998782,0.00998782,0.00998782
125,12434.3,1.04599,0.62392,0.92283,0.86161,0.96842,0.98353,0.79621,0.66015,0.47265,0.83406,0.00998772,0.00998772,0.00998772
126,12533.8,1.05482,0.60326,0.91866,0.89244,0.92331,0.96994,0.80201,0.65934,0.49835,0.84015,0.00998762,0.00998762,0.00998762
127,12633.3,1.04334,0.61051,0.92905,0.76167,0.98657,0.96043,0.78077,0.69889,0.54574,0.83234,0.00998753,0.00998753,0.00998753
128,12732.7,1.04337,0.61155,0.92264,0.87878,0.80888,0.91616,0.73701,0.71776,0.62469,0.84181,0.00998743,0.00998743,0.00998743
129,12832.1,1.02767,0.60792,0.91312,0.88034,0.95404,0.97351,0.80511,0.66341,0.47596,0.84337,0.00998733,0.00998733,0.00998733
130,12931.6,1.03309,0.59993,0.92461,0.79227,0.93703,0.94486,0.75654,0.66319,0.53114,0.84132,0.00998723,0.00998723,0.00998723
131,13031,1.03861,0.60209,0.91332,0.91714,0.90993,0.98423,0.82645,0.63113,0.46851,0.82479,0.00998713,0.00998713,0.00998713
132,13130.5,1.03088,0.60114,0.91231,0.89809,0.96264,0.98186,0.79722,0.67406,0.49672,0.84439,0.00998703,0.00998703,0.00998703
133,13229.9,1.02552,0.58913,0.91735,0.83405,0.92237,0.92299,0.75502,0.72352,0.57543,0.84671,0.00998693,0.00998693,0.00998693
134,13329.3,0.99794,0.58689,0.92657,0.83839,0.92216,0.92999,0.78563,0.64356,0.51737,0.84116,0.00998683,0.00998683,0.00998683
135,13428.7,1.03361,0.58869,0.91534,0.84271,0.89817,0.95294,0.81066,0.65782,0.47484,0.84751,0.00998673,0.00998673,0.00998673
136,13528.1,1.00286,0.57993,0.91774,0.86812,0.93144,0.97443,0.80297,0.63642,0.49641,0.83159,0.00998664,0.00998664,0.00998664
137,13627.5,1.04731,0.59967,0.92707,0.88694,0.91002,0.97309,0.79827,0.62727,0.54161,0.83316,0.00998654,0.00998654,0.00998654
138,13726.9,1.02565,0.60222,0.92493,0.93646,0.91965,0.98929,0.80862,0.63082,0.47799,0.82585,0.00998644,0.00998644,0.00998644
139,13826.4,1.00072,0.58943,0.91665,0.8645,0.94676,0.98039,0.81487,0.66721,0.47542,0.84245,0.00998634,0.00998634,0.00998634
140,13925.8,0.99927,0.59662,0.91557,0.84564,0.96327,0.96535,0.7946,0.63426,0.47108,0.83029,0.00998624,0.00998624,0.00998624
141,14025.3,1.0173,0.59373,0.90217,0.89805,0.98509,0.98947,0.84844,0.61759,0.45173,0.83344,0.00998614,0.00998614,0.00998614
142,14124.7,1.00609,0.57556,0.90758,0.95866,0.86313,0.98197,0.81429,0.63806,0.45896,0.83367,0.00998604,0.00998604,0.00998604
143,14224.1,0.99398,0.57245,0.91237,0.8253,0.83384,0.89124,0.72362,0.66116,0.55708,0.84384,0.00998594,0.00998594,0.00998594
144,14323.5,1.00306,0.59018,0.9105,0.92405,0.85913,0.97446,0.82254,0.63573,0.44927,0.83573,0.00998584,0.00998584,0.00998584
