epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,23747.6,0.96799,0.93574,1.07475,0.88905,0.9152,0.93083,0.6713,1.10337,0.56682,1.06288,0.00999158,0.00999158,0.00999158
87,24023.9,0.98636,0.93672,1.08844,0.94508,0.88169,0.93851,0.70051,1.02181,0.54262,1.02914,0.00999149,0.00999149,0.00999149
88,24299.6,0.9803,0.93204,1.07958,0.919,0.91095,0.942,0.69529,1.07991,0.54638,1.05592,0.00999139,0.00999139,0.00999139
89,24576,0.97786,0.94573,1.09156,0.89051,0.90709,0.93108,0.70702,0.95891,0.51227,1.00823,0.00999129,0.00999129,0.00999129
90,24851.7,0.97459,0.9232,1.07638,0.92852,0.89443,0.94212,0.70573,0.94503,0.52114,1.00674,0.00999119,0.00999119,0.00999119
91,25128,0.96714,0.94384,1.07388,0.9114,0.91563,0.94512,0.70273,1.02571,0.51761,1.02847,0.00999109,0.00999109,0.00999109
92,25403.8,0.9612,0.90996,1.07425,0.93892,0.90089,0.94534,0.72683,0.93804,0.49879,1.00211,0.00999099,0.00999099,0.00999099
93,25680.3,0.97004,0.93704,1.0768,0.93164,0.90516,0.94028,0.69431,0.99807,0.53368,1.00708,0.00999089,0.00999089,0.00999089
94,25956.1,0.95624,0.91436,1.06798,0.9171,0.91496,0.93997,0.68146,1.11281,0.54563,1.06171,0.00999079,0.00999079,0.00999079
95,26232.5,0.96843,0.91424,1.0771,0.92619,0.88342,0.92326,0.70286,0.97805,0.49779,1.0027,0.00999069,0.00999069,0.00999069
96,26508.2,0.9681,0.9206,1.07382,0.92107,0.92525,0.93578,0.72879,0.93428,0.49542,1.00108,0.00999059,0.00999059,0.00999059
97,26784.7,0.94982,0.91294,1.06593,0.9461,0.8979,0.94068,0.71967,0.92248,0.49115,0.99156,0.0099905,0.0099905,0.0099905
98,27060.3,0.96395,0.92325,1.07777,0.90973,0.89096,0.93403,0.70649,0.98024,0.50536,1.01351,0.0099904,0.0099904,0.0099904
99,27336.6,0.94519,0.91831,1.0744,0.91368,0.89515,0.937,0.72484,0.94667,0.49531,0.99424,0.0099903,0.0099903,0.0099903
100,27612.3,0.94314,0.90353,1.06732,0.91446,0.90981,0.9332,0.71568,0.95613,0.48667,1.0001,0.0099902,0.0099902,0.0099902
101,27888.6,0.95035,0.90076,1.06361,0.93503,0.91064,0.93529,0.71874,0.96226,0.48926,0.99151,0.0099901,0.0099901,0.0099901
102,28164.3,0.94017,0.89744,1.06552,0.91165,0.90778,0.92582,0.71491,0.88981,0.48203,0.97101,0.00999,0.00999,0.00999
103,28440.7,0.94434,0.89666,1.06634,0.93208,0.8921,0.93927,0.73173,0.92201,0.48489,0.98524,0.0099899,0.0099899,0.0099899
104,28716.4,0.94605,0.89431,1.06521,0.9337,0.87602,0.9385,0.73123,0.943,0.47788,1.00534,0.0099898,0.0099898,0.0099898
105,28992.8,0.95135,0.90079,1.06771,0.92904,0.8978,0.9395,0.73029,0.97443,0.47742,1.01264,0.0099897,0.0099897,0.0099897
106,29268.4,0.93797,0.88691,1.06356,0.9183,0.88882,0.94062,0.72407,1.00942,0.48285,1.024,0.00998961,0.00998961,0.00998961
107,29545,0.9335,0.88801,1.06061,0.92632,0.90006,0.93964,0.72379,0.92946,0.4704,1.00484,0.00998951,0.00998951,0.00998951
108,29821.8,0.93388,0.89622,1.05528,0.91254,0.89374,0.94037,0.74111,0.89005,0.46704,0.98333,0.00998941,0.00998941,0.00998941
109,30098.4,0.93586,0.89703,1.05749,0.91707,0.90098,0.937,0.73871,0.90901,0.48296,0.97401,0.00998931,0.00998931,0.00998931
110,30374.1,0.91831,0.89739,1.05333,0.9339,0.88497,0.94124,0.72108,0.9351,0.48004,0.99359,0.00998921,0.00998921,0.00998921
111,30650.5,0.92358,0.88098,1.05022,0.94245,0.89916,0.94031,0.72119,0.93276,0.46432,0.98575,0.00998911,0.00998911,0.00998911
112,30926.2,0.93124,0.8785,1.05249,0.9418,0.90605,0.94201,0.72917,0.94557,0.46501,0.99523,0.00998901,0.00998901,0.00998901
113,31202.7,0.92533,0.86974,1.04657,0.93253,0.9221,0.94383,0.73298,0.91898,0.47152,0.99215,0.00998891,0.00998891,0.00998891
114,31478.3,0.92714,0.86721,1.05826,0.92771,0.92124,0.94715,0.72163,0.9643,0.46588,1.00722,0.00998881,0.00998881,0.00998881
115,31754.6,0.92693,0.90021,1.06208,0.93171,0.90908,0.94169,0.7084,0.95643,0.46929,0.99341,0.00998871,0.00998871,0.00998871
116,32030.4,0.92265,0.87486,1.05434,0.89908,0.93076,0.94233,0.74254,0.86326,0.452,0.96616,0.00998862,0.00998862,0.00998862
117,32306.9,0.91151,0.8458,1.0446,0.8951,0.939,0.93686,0.72048,0.92571,0.46474,0.97652,0.00998852,0.00998852,0.00998852
118,32582.5,0.91758,0.88133,1.05563,0.91086,0.92233,0.94251,0.7268,0.92362,0.45335,0.97897,0.00998842,0.00998842,0.00998842
119,32858.8,0.92239,0.85701,1.05132,0.92509,0.89018,0.94275,0.72252,0.93598,0.46667,0.98341,0.00998832,0.00998832,0.00998832
120,33134.5,0.92326,0.87635,1.05295,0.93356,0.91654,0.93728,0.71729,0.96137,0.4679,0.9909,0.00998822,0.00998822,0.00998822
121,33411.1,0.92309,0.85857,1.06155,0.93712,0.90784,0.95328,0.73273,0.94521,0.46233,0.98903,0.00998812,0.00998812,0.00998812
122,33686.7,0.91738,0.85745,1.05136,0.93418,0.90343,0.95117,0.73026,0.96036,0.47072,1.00555,0.00998802,0.00998802,0.00998802
123,33963.1,0.91453,0.84383,1.0408,0.92155,0.90998,0.93931,0.72816,0.9441,0.46098,0.99609,0.00998792,0.00998792,0.00998792
124,34238.7,0.91867,0.8585,1.04407,0.92946,0.90164,0.94635,0.73669,0.88339,0.44657,0.96859,0.00998782,0.00998782,0.00998782
125,34515.2,0.91025,0.85636,1.05478,0.94113,0.90743,0.93868,0.74894,0.87024,0.44553,0.96191,0.00998772,0.00998772,0.00998772
126,34791,0.91283,0.85889,1.04846,0.92648,0.90702,0.93756,0.73959,0.87554,0.45215,0.96232,0.00998762,0.00998762,0.00998762
127,35067.3,0.91051,0.85995,1.04682,0.92627,0.90583,0.94398,0.74616,0.84148,0.4467,0.95438,0.00998753,0.00998753,0.00998753
128,35343,0.90124,0.85263,1.04502,0.94003,0.91363,0.93465,0.74042,0.88891,0.46075,0.97517,0.00998743,0.00998743,0.00998743
129,35619.4,0.90128,0.86467,1.04427,0.93692,0.92735,0.93867,0.73367,0.90807,0.45986,0.97959,0.00998733,0.00998733,0.00998733
130,35895,0.88619,0.83367,1.03803,0.92918,0.9223,0.94138,0.73518,0.89477,0.44912,0.97507,0.00998723,0.00998723,0.00998723
131,36171.4,0.91052,0.85252,1.04176,0.91858,0.9201,0.94081,0.74995,0.88274,0.44135,0.97475,0.00998713,0.00998713,0.00998713
132,36447.1,0.90815,0.8495,1.05418,0.93534,0.91848,0.94973,0.74324,0.88583,0.44044,0.97281,0.00998703,0.00998703,0.00998703
133,36723.7,0.90533,0.8375,1.04332,0.93264,0.91441,0.9441,0.73353,0.91776,0.45262,0.98463,0.00998693,0.00998693,0.00998693
134,36999.6,0.91087,0.85625,1.05186,0.92967,0.91261,0.94603,0.74701,0.89342,0.4457,0.96777,0.00998683,0.00998683,0.00998683
135,37276,0.89618,0.84688,1.04519,0.92883,0.92775,0.94463,0.74841,0.89154,0.44914,0.96727,0.00998673,0.00998673,0.00998673
136,37551.8,0.89461,0.83394,1.03967,0.92807,0.92013,0.94094,0.74105,0.88145,0.45144,0.96492,0.00998664,0.00998664,0.00998664
137,37828.2,0.8995,0.84321,1.04431,0.93045,0.92356,0.946,0.75888,0.86828,0.44152,0.9641,0.00998654,0.00998654,0.00998654
138,38104,0.89231,0.83763,1.03787,0.93795,0.92772,0.95437,0.75219,0.88504,0.44046,0.96806,0.00998644,0.00998644,0.00998644
139,38380.4,0.89479,0.83237,1.03679,0.93609,0.91503,0.95425,0.76146,0.88037,0.44185,0.9694,0.00998634,0.00998634,0.00998634
140,38657.2,0.89141,0.8472,1.03303,0.93479,0.92717,0.95899,0.75786,0.85836,0.43623,0.96107,0.00998624,0.00998624,0.00998624
141,38933.6,0.87701,0.82685,1.03175,0.93568,0.91862,0.95584,0.76385,0.84861,0.44312,0.95759,0.00998614,0.00998614,0.00998614
142,39209.4,0.88911,0.82323,1.03947,0.93876,0.91195,0.95109,0.76458,0.83183,0.44919,0.95061,0.00998604,0.00998604,0.00998604
143,39485.8,0.89424,0.82872,1.04115,0.93257,0.90147,0.94943,0.76105,0.85302,0.45471,0.95702,0.00998594,0.00998594,0.00998594
144,39761.5,0.88423,0.84254,1.04254,0.93404,0.90754,0.94871,0.76543,0.84847,0.45446,0.9582,0.00998584,0.00998584,0.00998584
145,40038,0.88742,0.85111,1.04167,0.93574,0.90733,0.94882,0.74845,0.89339,0.45411,0.97899,0.00998574,0.00998574,0.00998574
146,40313.6,0.88182,0.82285,1.02942,0.91975,0.91138,0.94632,0.75067,0.88813,0.45451,0.97926,0.00998565,0.00998565,0.00998565
147,40590,0.8887,0.8273,1.03932,0.93684,0.90453,0.94367,0.74755,0.87912,0.44835,0.97648,0.00998555,0.00998555,0.00998555
148,40865.6,0.89161,0.84155,1.03853,0.93117,0.9077,0.94483,0.75117,0.85822,0.44296,0.96978,0.00998545,0.00998545,0.00998545
149,41142,0.88296,0.82043,1.04355,0.93535,0.91086,0.95297,0.75307,0.84755,0.43465,0.96088,0.00998535,0.00998535,0.00998535
150,41417.7,0.87688,0.81666,1.0336,0.93973,0.91136,0.95544,0.7533,0.87602,0.43664,0.96937,0.00998525,0.00998525,0.00998525
151,41694.1,0.87503,0.8368,1.03423,0.94163,0.91,0.95361,0.75518,0.86655,0.4317,0.96994,0.00998515,0.00998515,0.00998515
152,41969.8,0.89443,0.82812,1.04135,0.94265,0.89077,0.9449,0.75285,0.86001,0.43343,0.96855,0.00998505,0.00998505,0.00998505
153,42246.4,0.87546,0.80952,1.02831,0.9386,0.89215,0.94405,0.74287,0.86823,0.43899,0.97082,0.00998495,0.00998495,0.00998495
154,42522,0.88867,0.82632,1.03006,0.93559,0.90005,0.94528,0.75624,0.85917,0.43627,0.96432,0.00998485,0.00998485,0.00998485
155,42798.5,0.87011,0.8301,1.03344,0.93255,0.90088,0.94363,0.7491,0.86446,0.43949,0.96869,0.00998475,0.00998475,0.00998475
156,43074.1,0.87041,0.80778,1.02979,0.92152,0.90378,0.94419,0.75437,0.8745,0.44036,0.97137,0.00998465,0.00998465,0.00998465
157,43350.6,0.87121,0.81489,1.03031,0.92388,0.89666,0.94532,0.7637,0.87031,0.43906,0.96897,0.00998456,0.00998456,0.00998456
158,43626.2,0.87468,0.81375,1.03248,0.92579,0.91159,0.95098,0.76105,0.87788,0.43691,0.97207,0.00998446,0.00998446,0.00998446
159,43902.6,0.88152,0.817,1.03273,0.91217,0.91517,0.94533,0.75731,0.86383,0.43122,0.96771,0.00998436,0.00998436,0.00998436
160,44178.2,0.86793,0.81349,1.02534,0.91787,0.91501,0.94383,0.75748,0.86718,0.43047,0.96989,0.00998426,0.00998426,0.00998426
161,44454.6,0.86615,0.81253,1.02849,0.92397,0.91881,0.94902,0.75909,0.86513,0.4276,0.96974,0.00998416,0.00998416,0.00998416
162,44730.3,0.87088,0.82424,1.03178,0.92255,0.9185,0.94857,0.75518,0.88298,0.42968,0.97496,0.00998406,0.00998406,0.00998406
163,45006.7,0.85808,0.81842,1.01864,0.92025,0.92028,0.95033,0.75578,0.88624,0.43045,0.97771,0.00998396,0.00998396,0.00998396
164,45282.4,0.86164,0.82104,1.02964,0.92231,0.92096,0.95063,0.75725,0.87683,0.43298,0.97516,0.00998386,0.00998386,0.00998386
165,45558.8,0.85734,0.81413,1.03059,0.92265,0.922,0.95038,0.75994,0.86668,0.42669,0.97284,0.00998376,0.00998376,0.00998376
166,45834.7,0.86071,0.82714,1.03187,0.92307,0.92202,0.95279,0.75604,0.86777,0.4252,0.9723,0.00998366,0.00998366,0.00998366
167,46111.1,0.85223,0.80335,1.02486,0.92365,0.92228,0.95223,0.75786,0.86571,0.4202,0.97102,0.00998357,0.00998357,0.00998357
168,46386.8,0.86403,0.81914,1.0243,0.92757,0.92483,0.95335,0.75899,0.85957,0.41644,0.96819,0.00998347,0.00998347,0.00998347
169,46663.2,0.8528,0.81715,1.02645,0.92362,0.92819,0.95199,0.75984,0.85787,0.41442,0.9679,0.00998337,0.00998337,0.00998337
170,46938.8,0.8766,0.81134,1.03949,0.9242,0.9285,0.95231,0.76146,0.86025,0.41187,0.96663,0.00998327,0.00998327,0.00998327
171,47215.2,0.87299,0.80896,1.02811,0.92267,0.92561,0.95291,0.76016,0.86599,0.41314,0.968,0.00998317,0.00998317,0.00998317
172,47490.7,0.84921,0.79353,1.02012,0.92566,0.92353,0.95134,0.75667,0.86492,0.41773,0.96941,0.00998307,0.00998307,0.00998307
173,47767.1,0.85801,0.78678,1.01922,0.92385,0.92314,0.95086,0.75966,0.8628,0.41701,0.9674,0.00998297,0.00998297,0.00998297
174,48042.7,0.84415,0.80006,1.02239,0.92596,0.92144,0.9522,0.75633,0.86568,0.42398,0.9693,0.00998287,0.00998287,0.00998287
175,48319.1,0.86609,0.80769,1.02973,0.92659,0.92113,0.95214,0.75901,0.86773,0.42709,0.97079,0.00998277,0.00998277,0.00998277
176,48594.7,0.86319,0.8205,1.0286,0.92737,0.92167,0.95202,0.75843,0.86206,0.42651,0.96715,0.00998267,0.00998267,0.00998267
